editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient
Peter in s,0.0024683442859432603,0.0022029307814130663,0.33617756268241217,1.4249886515279014e-05,0.7159945317840055
Make,0.002853021317518833,0.0038762249883390267,0.3326045974837161,1.600617027280831e-05,0.6332992849846782
NBS,0.022118929315595448,0.021980211970459258,0.3989513470034455,0.00015737805821090637,0.38380766075597905
Paperoastro,0.033787465940054495,0.043780026565396465,0.39534625744029367,0.0005467085455633216,0.39654839971095507
ONaNcle,3.205641929796442e-05,9.130453651219117e-05,0.2839763193369169,0.0,0.0
Lavallen,0.04260298124699471,0.03793926961088016,0.39611175927444664,0.0013018172880233999,0.22181162573544744
Matthew Beta,0.007949991985895176,0.01333834079609703,0.36768669135866483,1.6085338211447197e-05,0.7723978059292151
Mathmitch7,0.0005449591280653951,0.0008240042625771632,0.31272364610121456,1.623646436245397e-07,0.7573529411764706
PiRSquared17,0.019201795159480686,0.02593765865608385,0.3822015603136439,0.00024624827834631764,0.5271997364615496
Klinglton358,0.0003526206122776086,0.00048114643856004885,0.2966105358856569,6.135684014802086e-07,0.7272727272727273
Kolja21,0.058022118929315594,0.034263373512998165,0.42235716382884686,0.006430351545319629,0.10024585482654255
PinkAmpersand,0.039012662285622696,0.03560628881769272,0.4124155453791311,0.0027697795555047316,0.22055691303031613
Giftzwerg 88,0.021061067478762623,0.020645316668466536,0.4025567669457549,0.0007106054086746783,0.28136949177710957
Gyurika,9.616925789389326e-05,0.00018289882202659184,0.2889152316802334,0.0,1.0
Daranz,0.00012822567719185767,0.0002328795779622387,0.2826213699654725,1.9843271293231583e-07,0.5
Sapphorain,0.006186888924507133,0.006860816388562331,0.3537008820467592,0.00016151293439860636,0.4321027633851468
Nikkimaria,0.006443340278890848,0.007900970897857873,0.3638776902574329,0.00012179538063133912,0.6664676616915423
Jura1,0.16223753806699792,0.06460985998681253,0.45730808678928675,0.03210837074370628,0.03610153752675853
LtPowers,0.0006731848052572528,0.0011356733140725763,0.32723500151148316,1.3337817831208415e-06,0.7476190476190476
Multichill,0.0836993107869851,0.05410952397346956,0.4318171718372093,0.0074924168332177465,0.09536223845181967
ArthurPSmith,0.10165090559384517,0.05500988000086541,0.43710532182666895,0.013907141759168249,0.06646690681620801
Anonymous_username_1,0.0002885077736816798,0.00046275763558111085,0.3050509560944235,0.0,1.0
Harry Canyon,0.0017310466420900786,0.0027490509577491338,0.3573276446612672,1.863473268203383e-05,0.6121593291404612
Ita140188,0.000993748998236897,0.0018394956341281955,0.32353564405762,9.286179972936685e-07,0.7505376344086021
Jklamo,0.06475396698188812,0.04519018495140144,0.424083949423218,0.005231461177376091,0.11821556598453307
Amadalvarez,0.020548164769995193,0.015296503507394947,0.3857853255989316,0.0010020567210146122,0.2080245709828393
77.180.121.40,0.0,1.94203807960505e-27,0.0,0.0,0.0
Alexandronikos,0.0,1.94203807960505e-27,0.0,0.0,0.0
JesseW,0.008398781856066677,0.008152170574768046,0.3813768831915144,0.0002905106699607674,0.36202509432306745
108.71.133.201,0.0023080621894534382,0.003154037211482109,0.35346887654066506,2.5687898705492742e-05,0.7746478873239436
Bigpeteb,3.205641929796442e-05,4.998436470130692e-06,0.2431190025754681,0.0,0.0
Reinhard Müller,0.00016028209648982208,0.00027906533188922004,0.30424023130061706,1.7479060350878668e-07,0.9
Sextvåetc,0.006507453117486777,0.007196098168455072,0.3652250735122625,0.00029724306552016545,0.4205238257815929
H.-Dirk Schmitt,9.616925789389326e-05,8.500404634238453e-05,0.29917299386663254,4.169701328934013e-06,0.6666666666666666
Nuretok,0.00016028209648982208,3.742922732513391e-05,0.2718884286072139,5.396958279924404e-05,0.2
HarryNº2,0.012373777849014266,0.01180627629248952,0.3808115687726362,0.0007253048865636261,0.3036000269160891
TheHardestAspectOfCreatingAnAccountIsAlwaysTheUsername,6.411283859592884e-05,0.00011842505557171885,0.29638771191579216,0.0,1.0
C933103,0.005641929796441738,0.006966019303363934,0.37051073430012593,8.271996144150998e-05,0.4353896103896104
Sifalot,0.0002885077736816798,0.00039885989835365004,0.3086649100581289,2.124863768985496e-06,0.5
Carnby,0.0005129027087674307,0.0007930643828379281,0.3108318176287396,8.725921345562706e-07,0.5583333333333333
LiberatorG,0.016060266068280173,0.012041270540229073,0.38035266487141595,0.0008308302565673746,0.19714171656686627
Dhx1,0.018464497515627506,0.013309584258258456,0.37898256538904956,0.0008225125800319338,0.1963949275362319
Kestrelguy,0.0,1.94203807960505e-27,0.0,0.0,0.0
Touriste,0.0034941497034781215,0.004544031906100254,0.325739389874988,6.041454525191439e-06,0.6218144750254841
Captain frakas,9.616925789389326e-05,0.00021970039266850822,0.29045730808838127,0.0,1.0
Ysangkok,0.0025004007052412246,0.003808729664795934,0.3574432640962096,1.5206337025440416e-05,0.6769896769896769
Alphos,0.0028850777368167975,0.004053129335835251,0.36758269718581854,5.9489178846516074e-05,0.5460674157303371
Manutaust,3.205641929796442e-05,0.00010655635452898946,0.29630423921478993,0.0,0.0
Ju gatsu mikka,0.01051450552973233,0.011113286197716475,0.360740711181968,1.918523942056219e-05,0.7829864995897665
Tubezlob,0.028017310466420902,0.035873858027035514,0.40634748762324013,0.0005446254429269385,0.41244190709853973
Swpb,0.013143131912165412,0.014096013906073136,0.3972870171375029,0.00031704015961432354,0.35760033394954976
Bob08,9.616925789389326e-05,6.264917728270742e-05,0.2882029401788499,6.085047230916617e-06,0.0
Sinequonen,0.00019233851578778652,0.0002459978915503391,0.2882931951544399,0.00010840594428328777,0.4
Galaktos,0.024330822247154993,0.03432797732379278,0.4060338441770649,0.000447270802706983,0.5029148894010659
Soulkeeper,0.024747555698028532,0.028477611642576846,0.4019050369645246,0.00048827209063606483,0.38179673796899255
Jasper Deng,0.05943260137842603,0.04930716764704071,0.42034827337856606,0.004886692105711398,0.15699314968408906
Albedo,0.0008334669017470748,0.00046590106606423124,0.2980429731154838,3.7560349964996516e-06,0.4276923076923077
Bovlb,0.09180958486937009,0.04264591262999899,0.4338011348108384,0.01564916787203717,0.06352821687607443
Innocent bystander,0.051642891489020674,0.04964682962527692,0.41904078894359054,0.0026880259064514084,0.2146654791784741
RV1971,0.00032056419297964416,0.000557047731365191,0.3087425496716202,1.8903666876151863e-07,0.6666666666666666
FabC,0.004071165250841481,0.0038667321657116158,0.35410904423654593,0.00013970482285922896,0.3749531308586427
Ainali,0.03548645616284661,0.03764832890913481,0.41224625139102905,0.0015037602327000116,0.2853500084126821
Wmestrom,0.00044878987017150186,0.0003150219300729762,0.2935601710963144,0.0,1.0
Viscontino,0.006411283859592883,0.008316481907196463,0.36185737257072587,4.1529113419398895e-05,0.4912562814070352
Mxn,0.010033659240262862,0.010664022503703826,0.3830430928753608,0.00026847118286970527,0.37847136888670435
Tamawashi,0.005513704119249879,0.007534577063485045,0.3458390169374785,8.535045401221041e-05,0.5807153542771658
Fralambert,0.06940214778009296,0.05161232226029715,0.4251284509726922,0.007081917321688136,0.1273443669878294
Voll,0.004744350056098734,0.0068747736967048455,0.37200797422253895,3.461205989035388e-05,0.5842066556352271
Fractaler,0.016509055938451676,0.015116625855733028,0.3880416178767903,0.0007279944258012018,0.2613426013373125
D1gggg,0.03696105145055297,0.04454555809523007,0.4004771809721186,0.0009356217847010548,0.3440074804856895
Jefft0,0.0013143131912165412,0.001796689201267713,0.3264903074736713,3.075723261241274e-06,0.6231707317073171
Orijentolog,0.006122776085911203,0.0069485022612084685,0.35587722238053593,0.00024190245067223385,0.48404519151281344
DSGalaktos,0.005770155473633595,0.007559715497699737,0.36286769913201194,0.00017595937997620182,0.4397268777157045
DavidMar86hdf,0.006283058182401026,0.00811964620137161,0.37491177134361897,6.250441693428654e-05,0.6336473050758765
Legoktm,0.04244269915050489,0.045407968349897194,0.41250024452588285,0.0018341136001212182,0.26691374770787807
MPelletier (WMF),0.00044878987017150186,0.000868467809912233,0.2998388513021579,3.1598445534327235e-07,0.8351648351648352
217.197.250.146,0.0003526206122776086,0.0005195299322744578,0.3023003803334539,3.8544894153763676e-08,0.8909090909090909
Breogan2008,0.00016028209648982208,0.00035754197813264043,0.29921756249476306,7.610631468769312e-09,0.8
Liuxinyu970226,0.1007212694342042,0.05707963290047514,0.43657844956331754,0.023695375115924157,0.07409265072060839
AKlapper (WMF),0.0012822567719185766,0.0026994213411268447,0.3478317605291458,3.4459859673303028e-06,0.8269230769230769
Lydia Pintscher (WMDE),0.039172944382112516,0.030002690530905433,0.3878236514077974,0.0033618718623538756,0.15781381738828548
Asperatus,9.616925789389326e-05,0.00014673256512181786,0.3042611801563149,0.0,1.0
Bahnmoeller,0.009841320724475076,0.00568810537927337,0.36108855797883227,0.00014522694505739736,0.572097677290243
WiseWoman,0.004904632152588556,0.004970484957158895,0.3589181668543108,0.00011152305530988857,0.44014447884416924
Bever,0.009392530854303574,0.010949914913396279,0.371388898925043,0.00015537204284022237,0.4035953059984104
MisterSynergy,0.09200192338515788,0.057026053975935256,0.43421035703576466,0.012532613721392489,0.08743470694180128
Hans G. Oberlack,0.0017951594806860074,0.002099444513984035,0.31853068823059905,5.821154530291385e-05,0.7506493506493507
Tacsipacsi,0.033466901747074854,0.02299252524159153,0.4106524961349171,0.0025318313791086846,0.17535072348772882
Kleeblatt187,0.0015707645456002565,0.0012406249247658987,0.34302011484320466,0.0001070350051110049,0.39625850340136054
Claudio Niada,0.00022439493508575093,0.0001727685203932455,0.2900150376342287,0.0,1.0
Sänger,0.008879628145536144,0.00909100682181591,0.3705231614994518,0.00034376144951291256,0.43410244336315595
Jon Harald Søby,0.056355185125821446,0.051429753717046736,0.420244333644973,0.0033246117552791364,0.19729176905250767
Gloumouth1,0.007629427792915531,0.009099383084380028,0.369680006643534,4.930489205429316e-05,0.4608729567776478
Littledogboy,0.031543516589196983,0.030718579810703372,0.40910888986299065,0.001772342462093019,0.2691735106567749
Horcrux92,0.010354223433242507,0.011194574846753461,0.3876875466677922,0.00018958970124850684,0.42068726804222834
Gugganij,6.411283859592884e-05,0.00015213237993886268,0.2970492026815834,0.0,1.0
Grabado,0.0003526206122776086,0.0003868589608140289,0.2901521497787252,5.4500562861667976e-05,0.32727272727272727
Don-vip,0.0010899182561307902,0.00043588113562699287,0.2975933514324885,7.086681052292504e-07,0.9019607843137255
Mr.choppers,0.00016028209648982208,0.00037616138137290355,0.32495367912004247,0.0,1.0
The Anonymouse,0.04266709408559064,0.03694700590414873,0.3998249262029861,0.002412379443783329,0.20066770984561327
Galzigler,0.0005449591280653951,0.0011349688123070574,0.34546589106312053,5.424361227275353e-07,0.8455882352941176
Flinga sv,0.0,1.94203807960505e-27,0.0,0.0,0.0
Sillyfolkboy,0.003013303414008655,0.003844592942819201,0.3641775828616538,2.9427412159519792e-05,0.5245939144360559
Adelheid24,3.205641929796442e-05,9.412242519261281e-05,0.2874604873476211,0.0,0.0
Espeso,0.007501202115723674,0.007876011361014514,0.3377811248765584,7.759671385520164e-05,0.39250210924030665
Verdy p,0.008110274082384997,0.009129040837107529,0.3550023394345847,0.0001853333947346077,0.3888575192923019
TomT0m,0.04622535662766469,0.030325099740326177,0.41752037335923825,0.0034252149830952135,0.12379964214248658
PAC2,0.011283859592883475,0.010830372739410647,0.37749326129460786,0.00022353681132884307,0.33124514374514374
Goldzahn,0.008014104824491105,0.009216875665663945,0.3485670994249556,6.582947712151001e-05,0.4416064257028112
Mange01,0.005770155473633595,0.007282417605915405,0.3412663628465858,8.646294480275139e-05,0.5464928615766604
Docu,0.030902388203237697,0.031289574432268596,0.3938030371640313,0.0010013532757126753,0.28169878879538784
Superm401,0.007789709889405354,0.009421947982283803,0.3536329464771165,0.00024336073511406855,0.4460769309254158
Ivan A. Krestinin,0.0451354383715339,0.031368959833115204,0.4170081461071838,0.0027399547907342447,0.1519411869225302
Gymel,0.01022599775605065,0.01158667955720384,0.3867171742114894,0.0004852699653072731,0.37984266871709943
Haplology,0.014521557941977882,0.016841925284457285,0.38223462158836735,0.0009384856997793341,0.36577194319091993
Izno,0.06004167334508735,0.04323526802466819,0.42102112538923353,0.0038090262813277437,0.13848389849457654
Pasleim,0.08821926590799807,0.0565099308887632,0.4324087600949371,0.008940558384687115,0.09222809041955145
Azertus,0.020259656996313512,0.03224176336782118,0.4014085063325668,0.000366404640462435,0.6540251559710325
Jc3s5h,0.027600577015547363,0.035417429267001185,0.3953604065109391,0.000702251521479197,0.4109121356994301
Peter F. Patel-Schneider,0.004039108831543517,0.0052613989894903235,0.3403149255576047,8.484265725538095e-05,0.5636825396825397
Alex42,0.00022439493508575093,0.00019953857180879077,0.2912230194955686,5.400817632905034e-05,0.38095238095238093
Eryakaas,6.411283859592884e-05,0.00015114803913798036,0.29246046193726666,0.0,1.0
Ghouston,0.032152588555858314,0.021790290112416132,0.396381808016843,0.0030982721738702632,0.14125288804245945
Ehitaja,0.004167334508735374,0.0034373801325204385,0.3480344916204721,6.391051527358833e-05,0.3880739415623137
Marsupium,0.02715178714537586,0.02188011524077026,0.40432482243340184,0.002064950271359974,0.2029608045081933
Oursana,0.01320724475076134,0.013478304847911527,0.39497167573118114,0.0005824359693756755,0.305010275671462
OmegaFallon,0.0007372976438531816,0.0008785223976086463,0.3283389150995811,2.83028128229623e-06,0.616600790513834
Fryed-peach,0.0018592723192819363,0.0030219353950962473,0.354092018671883,3.3901652535343535e-05,0.7271627344222625
Nashev,0.0007372976438531816,0.0007317178838734025,0.29039622508675916,2.9569767970123516e-07,0.7509881422924901
Dan Polansky,0.0033338676069882994,0.0035489057710208255,0.33656164270558464,0.0002619355659666171,0.4256908140403286
Genium,0.010642731206924187,0.012243573527734062,0.3852270255618854,0.00022765530321782192,0.5151057401812689
Octahedron80,0.0019554415771758293,0.002809611796578121,0.3539955713881853,1.590354701990438e-05,0.5890710382513661
Sokirko,0.0008334669017470748,0.0011362892409187205,0.3031922931900319,7.271448286786583e-08,0.9046153846153846
130.91.186.10,3.205641929796442e-05,7.131206110004046e-05,0.280632620724902,0.0,0.0
Ehn,0.001987497996473794,0.003000003616716103,0.33507629399352123,5.01564048342384e-06,0.7747223691168694
AKA MBG,0.0031735855104984773,0.003796915754022941,0.3689269056231037,6.297862839109874e-05,0.4856730571016285
TarzanASG,0.0036544317999679435,0.0051382111173317955,0.34969255942531474,2.034862713769436e-05,0.7320291880142835
RobotGMwikt,0.0007052412245552172,0.001227531050935571,0.31980322492329577,4.636293854377067e-06,0.7619047619047619
Wadim,6.411283859592884e-05,0.00013173511181634138,0.3002422383987771,0.0,1.0
109.91.21.82,9.616925789389326e-05,0.00018536348214247473,0.28586858846961083,0.0,1.0
Jc86035,0.04571245391889726,0.04695580296442963,0.4172207647446098,0.0015236397252460323,0.24585418665879286
Naypta,0.002243949350857509,0.002849188079698836,0.33356370549324854,8.19978274596521e-06,0.7354037267080745
217.117.125.83,0.008751402468344285,0.008168236257098454,0.37437813432264355,0.0005298596005458878,0.38431911226028875
Ulflarsen,0.0006731848052572528,0.0005782833025527813,0.2944796619490425,2.6017969074668536e-07,0.6285714285714286
Luckich,0.0,1.94203807960505e-27,0.0,0.0,0.0
Nullzero,0.0015387081263022922,0.0022448872238079575,0.34120311950103954,2.7189430750099683e-06,0.7402482269503546
Michael Bednarek,0.0009616925789389325,0.0008482703536967866,0.30891522206136396,4.615965811586699e-06,0.4827586206896552
TED,0.00660362237538067,0.007454983372026968,0.345622613954647,4.200614458938799e-05,0.6144920672507695
Sminthopsis84,0.00012822567719185767,0.00011962463715508117,0.2822927656587894,4.0814640546945785e-09,0.6666666666666666
Faux,0.007052412245552172,0.00842347780683851,0.3561870350489418,3.623817464608864e-05,0.49809049398090494
Kronf,0.002372175028049367,0.0028899658138195204,0.3422284359585931,5.728821008664978e-06,0.7971121806738245
2600:1702:31B0:9CE0:88D2:6234:431D:51F0,3.205641929796442e-05,7.090726838966984e-05,0.28558775638290673,0.0,0.0
Симуран,0.0,1.94203807960505e-27,0.0,0.0,0.0
Dentonius,3.205641929796442e-05,7.931946720374525e-05,0.2799640837468582,0.0,0.0
Joe Decker,0.008110274082384997,0.010554735529874541,0.3591048451369494,3.7192593057365884e-05,0.7293431206474684
Matěj Suchánek,0.11178073409200193,0.0588510713093674,0.4400917394787326,0.026193185515780912,0.06283876132988671
Stan J Klimas,0.0,1.94203807960505e-27,0.0,0.0,0.0
Arnaugir,0.007052412245552172,0.00931803612716555,0.3820099176473271,4.319717969202037e-05,0.5882523868825239
It Is Me Here,0.014040711652508414,0.023401754842177797,0.37704231538705774,5.261069518183607e-05,0.8348536618496808
Jarekt,0.036255810225997755,0.04098878831032511,0.41336462042415784,0.0013649980870555733,0.3056751406461507
Candalua,0.0032056419297964416,0.004546182532863328,0.36261161327836555,2.570865770294868e-05,0.5735353535353536
Xover,0.0015387081263022922,0.002503008584038543,0.32696381094595195,3.912846847564693e-06,0.7136524822695035
LutiV,0.00019233851578778652,0.00032321071411683006,0.30007912310770246,1.00402873952756e-07,0.6
Chris j wood,0.009552812950793396,0.009311555197457222,0.3451906194367754,6.0821077574241406e-06,0.8706302397577566
Anskar,0.0012181439333226478,0.0018725729860848592,0.3193548356829107,1.1471879590430653e-06,0.829302987197724
Iwan.Aucamp,0.01073890046481808,0.010413219154219295,0.3568543859456142,0.00013009183867146177,0.3402627580659576
DirkVE,0.01602820964898221,0.011686818338295473,0.36070537447023465,5.2374971409661074e-05,0.5469018036072144
Epìdosis,0.09312389806058663,0.057050947271269414,0.434406716418616,0.012322744456691558,0.09036310531381725
Dl2000,0.0005129027087674307,0.0007962085848029274,0.3077619913503574,1.989959986569606e-05,0.6666666666666666
Shujenchang,3.205641929796442e-05,6.546944412778576e-05,0.297858142755754,0.0,0.0
122.161.34.59,3.205641929796442e-05,5.871587123151961e-05,0.27678299254673794,0.0,0.0
Ashashyou,0.0005770155473633596,0.0008786229662177577,0.3065705388945275,6.716447254824991e-08,0.8888888888888888
RolandUnger,0.010322167013944542,0.012094665794140874,0.3877623924506092,0.00019369774296008492,0.47636462142760394
Silvonen,0.00884757172623818,0.011334831601473333,0.38293686905592783,0.00040445149806811345,0.4479578392621871
Angelo Mascaro,3.205641929796442e-05,5.871587123151961e-05,0.27678299254673794,0.0,0.0
87.23.184.145,3.205641929796442e-05,4.6959041462187046e-05,0.2720089331739096,0.0,0.0
Anonymous_username_2,3.205641929796442e-05,8.281749415795222e-05,0.2796876460162138,0.0,0.0
Wiki13,0.05497675909600898,0.05023413176360617,0.41889777974424686,0.0033007610471690236,0.1926341465074111
Ettrig,0.0003526206122776086,0.000420946624411552,0.29301899970890055,4.235795040465045e-08,0.6545454545454545
Soap,0.00022439493508575093,0.0005876835161161821,0.3014342610381305,0.0,1.0
Cirt,0.006154832505209169,0.007592057645837956,0.35240331122180096,3.321296911296025e-05,0.606348167539267
Ameisenigel,0.07395415932040392,0.051598026408726974,0.4265483637479161,0.0110688377171467,0.11711819414572565
Shawn in Montreal,0.007244750761339958,0.008674908700670224,0.3737258634772964,0.00014643012459369096,0.4522713864306785
Smuconlaw,0.00016028209648982208,0.00035449387952501136,0.3077748529943277,0.0,1.0
Simon Villeneuve,0.03157557300849495,0.03757308446119283,0.39710136232522397,0.0010815794463456662,0.3786781395732739
Kirk39,0.0004167334508735374,0.0006957785456665267,0.3365565158659316,6.055964007015835e-05,0.5641025641025641
Bill william compton,0.027087674306779934,0.031185680598721476,0.3880279877948473,0.0006473109335216269,0.37234639221514904
194.75.238.4,3.205641929796442e-05,5.871587123151961e-05,0.27678299254673794,0.0,0.0
Marek Mazurkiewicz,0.02503606347171021,0.04071011068982277,0.4031811820845419,5.1125611101554406e-05,0.6386125611477724
RKrummeich,6.411283859592884e-05,8.063753641584531e-07,0.22113385376181852,0.0,1.0
Beta16,0.023433242506811988,0.02780683369669018,0.3878236514077974,0.00035161449096626123,0.40299083634728183
Drongou,0.00022439493508575093,0.0002873305851378363,0.3186685166597071,3.342774762297261e-07,0.5714285714285714
FRacco,0.0027889084789229045,0.003428889548160764,0.35069723169921924,1.8815335870073373e-05,0.5685645549318364
Aftabuzzaman,0.018560666773521396,0.031689850912939875,0.3935084529093935,0.00015885586865771998,0.7566679216642463
Pizza1016,0.0011540310947267191,0.002431327030842884,0.3435374744927279,3.173102216446512e-07,0.8857142857142857
Rezonansowy,0.0005770155473633596,0.0009865158956917839,0.31423589243423145,1.5394203447483237e-06,0.7516339869281046
Bigbossfarin,0.019586472191056258,0.019295114194535466,0.4016493164094461,0.0003548726662036556,0.3451155053526871
